Unnamed: 0,tweet_id,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,__target__
9402,5.69949405136233e+17,0.6417,Late Flight,0.3384,US Airways,thomashoward88,0.0,usairway us 728feb 21 kim say leav 15 minut paperwork done wheel 15 hour late flightr,"[46.3144754, 11.0480288]",2015-02-23 11:58:21 -0800,,,0
8954,5.67724178317402e+17,0.6429,,0.6307488939105613,Delta,JetBlueNews,0.0,jetblu offer servic daytona beach new york albani busi review,"[-33.8698439, 151.2082848]",2015-02-17 08:36:06 -0800,Sydney,Sydney,2
4187,5.67789974717747e+17,1.0,Customer Service Issue,1.0,United,Tony_Ciccolella,0.0,unit youd learn listen customersy want wantvirginamerica ask custom want,"[37.7790262, -122.419906]",2015-02-17 12:57:33 -0800,"San Francisco, California",Pacific Time (US & Canada),0
8008,5.68881791156822e+17,1.0,Late Flight,1.0,Delta,dwhitchcock,0.0,jetblu two delay littl proactiv commun goe long way howhardcanthatreallyb,"[40.7587979, -73.9623427]",2015-02-20 13:16:02 -0800,"New York City, New York",Eastern Time (US & Canada),0
4971,5.69590208095769e+17,0.6598,,0.6307488939105613,Southwest,JessicaTickle,0.0,southwestair parti atl termin letitgo,"[64.4459613, -149.680909]",2015-02-22 12:11:02 -0800,Alaska,Alaska,1
7158,5.69924385387241e+17,0.6848,,0.0,Delta,Swoosh163,0.0,jetblu fleet fleek,"[-0.2201641, -78.5123274]",2015-02-23 10:18:56 -0800,Quito,Quito,1
6731,5.67715682918228e+17,0.6701,Customer Service Issue,0.6701,Southwest,kukalong,0.0,southwestair hope answer phone today,"[34.395342, -111.763275]",2015-02-17 08:02:21 -0800,Arizona,Arizona,0
4685,5.69935609940316e+17,1.0,,0.6307488939105613,Southwest,bzjames,0.0,southwestair got help nice ladi phone georgia thank,"[32.7762719, -96.7968559]",2015-02-23 11:03:32 -0800,Dallas,,2
347,5.68525368572817e+17,1.0,,0.6307488939105613,Virgin America,graveyardtravel,0.0,virginamerica first time fli virgin went sanfrancisco thank smooth ride easili new fav airlin,"[32.5317397, -117.0195295]",2015-02-19 13:39:45 -0800,Tijuana,Tijuana,2
1739,5.69608870429114e+17,1.0,Customer Service Issue,0.3407,United,windycityf,0.0,unit stuck yyz staff took break happi 1k,"[19.593801499999998, -155.42837009716908]",2015-02-22 13:25:12 -0800,Hawaii,Hawaii,0
11458,5.68103967185445e+17,0.6871,,0.0,US Airways,MoamarMoMoney,0.0,usairway thank reach gold div 2k424j0 flight chang confirm dnx58v,"[41.16012493, -81.39760735]",2015-02-18 09:45:15 -0800,New York,Eastern Time (US & Canada),2
