,tweet_id,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,__target__
0,5.70306133677761e+17,1.0,nan,0.6307488939105613,Virgin America,cairdin,0.0,virginamerica dhepburn said,"[40.7587979, -73.9623427]",2015-02-24 11:35:52 -0800,New York,Eastern Time (US & Canada),1
1,5.70301130888122e+17,0.3486,nan,0.0,Virgin America,jnardino,0.0,virginamerica plu youv ad commerci experi tacki,"[37.7790262, -122.419906]",2015-02-24 11:15:59 -0800,San Francisco,Pacific Time (US & Canada),2
2,5.70301083672814e+17,0.6837,nan,0.6307488939105613,Virgin America,yvonnalynn,0.0,virginamerica didnt today must mean need take anoth trip,"[30.2711286, -97.7436995]",2015-02-24 11:15:48 -0800,"Austin, Texas",Central Time (US & Canada),1
3,5.70301031407624e+17,1.0,Bad Flight,0.7033,Virgin America,jnardino,0.0,virginamerica realli aggress blast obnoxi entertain guest face amp littl recours,"[37.7790262, -122.419906]",2015-02-24 11:15:36 -0800,San Francisco,Pacific Time (US & Canada),0
4,5.70300817074463e+17,1.0,Can't Tell,1.0,Virgin America,jnardino,0.0,virginamerica realli big bad thing,"[37.7790262, -122.419906]",2015-02-24 11:14:45 -0800,San Francisco,Pacific Time (US & Canada),0
5,5.70300767074181e+17,1.0,Can't Tell,0.6842,Virgin America,jnardino,0.0,virginamerica serious would pay 30 flight seat didnt play realli bad thing fli va,"[37.7790262, -122.419906]",2015-02-24 11:14:33 -0800,San Francisco,Pacific Time (US & Canada),0
6,5.70300616901321e+17,0.6745,nan,0.0,Virgin America,cjmcginnis,0.0,virginamerica ye nearli everi time fli vx ear worm wont go away,"[37.7790262, -122.419906]",2015-02-24 11:13:57 -0800,"San Francisco, California",Pacific Time (US & Canada),2
7,5.70300248553349e+17,0.634,nan,0.6307488939105613,Virgin America,pilot,0.0,virginamerica realli miss prime opportun men without hat parodi,"[37.7790262, -122.419906]",2015-02-24 11:12:29 -0800,"San Francisco, California",Pacific Time (US & Canada),1
8,5.70299953286943e+17,0.6559,nan,0.6307488939105613,Virgin America,dhepburn,0.0,virginamerica well didntbut,"[37.7790262, -122.419906]",2015-02-24 11:11:19 -0800,"San Francisco, California",Pacific Time (US & Canada),2
9,5.70295459631264e+17,1.0,nan,0.6307488939105613,Virgin America,YupitsTate,0.0,virginamerica amaz arriv hour earli your good,"[40.7587979, -73.9623427]",2015-02-24 10:53:27 -0800,"New York City, New York",Eastern Time (US & Canada),2
10,5.70294189143032e+17,0.6769,nan,0.0,Virgin America,idk_but_youtube,0.0,virginamerica know suicid second lead caus death among teen 1024,"[40.7587979, -73.9623427]",2015-02-24 10:48:24 -0800,"New York City, New York",Eastern Time (US & Canada),1
11,5.70289724453216e+17,1.0,nan,0.6307488939105613,Virgin America,HyperCamiLax,0.0,virginamerica lt3 pretti graphic much better minim iconographi,"[40.7127281, -74.0060152]",2015-02-24 10:30:40 -0800,America/New_York,America/New_York,2
12,5.70289584061481e+17,1.0,nan,0.6307488939105613,Virgin America,HyperCamiLax,0.0,virginamerica great deal alreadi think 2nd trip australia amp havent even gone 1st trip yet p,"[40.7127281, -74.0060152]",2015-02-24 10:30:06 -0800,America/New_York,America/New_York,2
13,5.70287408438121e+17,0.6451,nan,0.6307488939105613,Virgin America,mollanderson,0.0,virginamerica virginmedia im fli fabul seduct sky u take stress away travel,"[40.7587979, -73.9623427]",2015-02-24 10:21:28 -0800,New York,Eastern Time (US & Canada),2
14,5.70285904809599e+17,1.0,nan,0.6307488939105613,Virgin America,sjespers,0.0,virginamerica thank,"[37.7790262, -122.419906]",2015-02-24 10:15:29 -0800,"San Francisco, California",Pacific Time (US & Canada),2
