nDocumento,documento,topico
0,virginamerica realli aggress blast obnoxi entertain guest face amp littl recours,6
1,virginamerica realli big bad thing,12
2,virginamerica serious would pay 30 flight seat didnt play realli bad thing fli va,12
3,virginamerica sfopdx schedul still mia,13
4,virginamerica flew nyc sfo last week couldnt fulli sit seat due two larg gentleman either side help,8
5,virginamerica first fare may three time carrier seat avail select,8
6,virginamerica guy mess seat reserv seat friend guy gave seat away want free internet,17
7,virginamerica statu match program appli three week call email respons,15
8,virginamerica happen 2 ur vegan food option least say ur site know wont abl 2 eat anyth next 6 hr fail,17
9,virginamerica amaz cant get cold air vent vx358 noair worstflightev roast sfotobo,3
10,virginamerica hi bked cool birthday trip cant add elev caus enter middl name flight book problem,16
11,virginamerica help left expens headphon flight 89 iad lax today seat 2a one answer lampf number lax,1
12,virginamerica await return phone call would prefer use onlin selfservic option,16
13,virginamerica chat support work site,13
14,virginamerica hey first time flyer next week excit im hard time get flight ad elev account help,17
15,virginamerica hi im excit 99 lgagtdal deal ive tri 2 book sinc last week amp page never load thx,3
16,virginamerica call 34 week ago ad 3 flight 2014 elevatethey still havent shown uphelp,2
17,virginamerica heyyyi guyyyi tri get hour someon call pleas,2
18,virginamerica hi virgin im hold 4050 minut earlier flight la nyc tonight earlier 1150pm,2
19,virginamerica everyth fine lost bag,13
20,virginamerica airlin awesom lax loft need step game 40 dirti tabl floor,11
21,virginamerica go custom servic anyway speak human asap thank,3
22,virginamerica cant supp biz travel like southwestair custom servic like jetblu neverflyvirginforbusi,2
23,virginamerica your best whenev begrudgingli use airlin im delay late flight,8
24,virginamerica interest fli cancel flight next four flight plannedneverflyvirginforbusi,17
25,virginamerica disappoint experi share everi busi travel meet neverflyvirgin,3
26,virginamerica im troubl ad flight wife book elev account help,6
27,virginamerica site back,5
28,virginamerica like tv interest video disappoint cancel flightl flight flight went jfk saturday,5
29,virginamerica land lax hour late flight bag check busi travel friendli nomorevirgin,5
30,virginamerica websit btw new websit isnt great user experi time anoth redesign,1
31,virginamerica cant check add bag websit isnt work ive tri desktop mobil,3
32,virginamerica let 2 scan passeng leav plane told someon remov bag 1st class bin uncomfort,2
33,virginamerica phone number cant find call flight reserv,17
34,virginamerica anyon anyth today websit useless one answer phone,1
35,virginamerica must travel miss flight late flight check bag miss morn appoint lost busi sfo2lax,7
36,virginamerica how direct flight fllgtsfo unexpect layov vega 4 fuel yet peep next bought vega flight sneaki,6
37,virginamerica late flight bag check lost busi miss flight apt three peopl flight exp,2
38,virginamerica call servic line hung awesom sarcasm,16
39,virginamerica site trip im tri check im get plain text version reluct enter card info,2
40,virginamerica concern fli plane need delay due tech stop,18
